President,State,Start,End,GrowthPerState
Peña Nieto,San Luis Potosí,450257.199,557795.952,23.883849772716243
Peña Nieto,Sinaloa,465716.02,527714.061,13.31241321696427
Peña Nieto,Sonora,709513.53,782097.739,10.230137401326218
Peña Nieto,Tabasco,597199.661,471565.25,-21.037254239164742
Peña Nieto,Tamaulipas,680107.018,732093.584,7.643880245917413
Peña Nieto,Tlaxcala,128120.564,147752.939,15.323359800383033
Peña Nieto,Veracruz de Ignacio de la Llave,1074459.351,1029905.4,-4.146639047678594
Peña Nieto,Yucatán,302445.463,364797.901,20.616093024348007
Peña Nieto,Zacatecas,196163.855,228388.213,16.427265869137806
Vicente Fox,Aguascalientes,167309.35,200318.265,19.729270958257867
Vicente Fox,Baja California,730554.237,772686.808,5.767206439458375
Vicente Fox,Baja California Sur,99668.467,126685.37,27.106770890737174
Vicente Fox,Campeche,892409.088,959641.063,7.533761803196695
Vicente Fox,Chiapas,308418.26,321113.546,4.1162562813239285
Vicente Fox,Chihuahua,554947.182,635597.824,14.533030280348372
Vicente Fox,Ciudad de México,2870934.157,3134225.217,9.17091948479681
Vicente Fox,Coahuila de Zaragoza,657960.994,798549.101,21.367240350421152
Vicente Fox,Colima,108484.812,114843.833,5.861669373589359
Vicente Fox,Durango,217801.317,241373.384,10.822738505295622
Vicente Fox,Guanajuato,657506.762,769496.263,17.03244855754047
Vicente Fox,Guerrero,258793.422,280082.837,8.226412725436278
Vicente Fox,Hidalgo,334079.072,349080.409,4.490355205488598
Vicente Fox,Jalisco,1237977.396,1340006.101,8.241564452603308
Vicente Fox,Michoacán de Ocampo,440699.835,485161.704,10.088923450584002
Vicente Fox,Morelos,214338.523,232043.608,8.260337316964726
Vicente Fox,México,1571190.184,1710985.648,8.897424730856144
Vicente Fox,Nayarit,119642.886,135896.556,13.585153738267408
Vicente Fox,Nuevo León,1213057.555,1469583.898,21.147087534523465
Vicente Fox,Oaxaca,358564.555,380271.447,6.0538309482374775
Vicente Fox,Puebla,573874.347,650292.566,13.316193588280406
Vicente Fox,Querétaro,368073.905,427146.948,16.04923418844374
Vicente Fox,Quintana Roo,189902.126,234332.557,23.396489515867778
Vicente Fox,San Luis Potosí,307856.591,377360.11,22.576589565366806
Vicente Fox,Sinaloa,383669.662,411251.1,7.188850391824821
Vicente Fox,Sonora,573834.854,605738.979,5.559809547574117
Vicente Fox,Tabasco,417100.655,478124.997,14.63060325330823
Vicente Fox,Tamaulipas,538197.19,657147.376,22.101599229828775
Vicente Fox,Tlaxcala,116176.586,117236.121,0.9120039041257448
Vicente Fox,Veracruz de Ignacio de la Llave,882374.528,992039.256,12.428365112552296
Vicente Fox,Yucatán,237095.381,270589.952,14.127044929652172
Vicente Fox,Zacatecas,129056.61,159901.098,23.899967618861208
